studID,name,email,araby,english,math,science,totaldegree
100,Tuna,Tuna@gmail.com,100,100,100,100,400
101,luka,luka@gmail.com,90,90,90,90,360
102,john,john@gmail.com,95,95,95,95,380
103,Raisa,Raisa@gmail.com,80,80,80,80,320
104,Bucky,Bucky@gmail.com,89,89,89,89,356
105,Scarlett,Scarlett@gmail.com,91,91,91,91,364
106,Johnnydeep,Johnnydeep@gmail.com,98,98,98,98,392
107,Vandam,Vandam@gmail.com,70,70,70,70,280
108,Logan,Logan@gmail.com,50,50,50,50,200
109,Magneto,Magneto@gmail.com,99,99,99,99,396
110,Jane,Jane@gmail.com,60,60,60,60,240
